,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-312,23,23,32045.922,32719.56,-210175.05600000083,-0.021021021021021102,2021-01-24,2021-01-24,0 days
1,-322,27,27,30331.82781,30973.473,-206609.75118000095,-0.021154188070013458,2021-01-28,2021-01-28,0 days
2,285,32,32,33550.60708999999,34867.4248,375293.0473500029,0.03924869992568625,2021-02-02,2021-02-02,0 days
3,259,36,36,38327.609319999996,39821.8496,387008.2325200014,0.038986002688675025,2021-02-06,2021-02-06,0 days
4,222,40,40,46466.84041999999,45492.0116,-216411.99803999893,-0.020979020979020824,2021-02-10,2021-02-10,0 days
5,214,44,44,47203.936779999996,49039.837600000006,392882.7754800021,0.0388929598935035,2021-02-14,2021-02-14,0 days
6,201,48,48,52169.78766999999,51077.3158,-219586.8458699988,-0.02094069994899006,2021-02-18,2021-02-18,0 days
7,179,52,52,57469.76234999999,56260.3986,-216476.11124999812,-0.021043479223644135,2021-02-22,2021-02-22,0 days
8,-214,56,56,47026.65627000001,48015.204600000005,-211549.34261999954,-0.02102102102102088,2021-02-26,2021-02-26,0 days
9,-199,60,60,49546.164240000006,47603.5488,386580.4725600017,0.03920819037756473,2021-03-02,2021-03-02,0 days
10,183,69,69,55907.44158999999,54734.55819999999,-214637.66036999915,-0.020979020979020935,2021-03-11,2021-03-11,0 days
11,170,73,73,59035.056079999995,57788.943799999994,-211839.0876000002,-0.0211080053572128,2021-03-15,2021-03-15,0 days
12,169,79,79,58158.12001999999,56940.2344,-205822.6697799977,-0.02094093859260182,2021-03-21,2021-03-21,0 days
13,-184,83,84,52251.356340000006,53349.723000000005,-202099.46543999994,-0.021020825810777355,2021-03-25,2021-03-26,1 days
14,160,91,92,58779.17044999999,57546.0312,-197302.27999999886,-0.020979187704749158,2021-04-02,2021-04-03,1 days
15,155,95,95,59189.11998999999,57947.390199999994,-192468.1174499996,-0.020979020979020935,2021-04-06,2021-04-06,0 days
16,142,103,103,63638.585009999995,62303.5,-189582.07141999932,-0.02097917497364532,2021-04-14,2021-04-14,0 days
17,147,107,107,60066.67666999999,58806.5268,-185242.0308899991,-0.020979184131046935,2021-04-18,2021-04-18,0 days
18,-161,111,111,53733.83238,54863.3826,-181857.58541999958,-0.021021210845560745,2021-04-22,2021-04-22,0 days
19,-173,115,115,49017.69324,50048.1054,-178261.30367999998,-0.021021229109148498,2021-04-26,2021-04-26,0 days
20,143,120,121,57754.94724999999,56540.3846,-173682.45894999895,-0.02102958634422425,2021-05-01,2021-05-02,1 days
21,152,124,124,53258.25505,55328.01040000001,314602.813200001,0.03886262041549937,2021-05-05,2021-05-05,0 days
22,143,128,128,58925.39652999999,57684.809,-177404.01678999854,-0.021053528750856754,2021-05-09,2021-05-09,0 days
23,-166,133,133,49622.24808,50664.3894,-172995.45912000042,-0.02100149348977265,2021-05-14,2021-05-14,0 days
24,-186,137,137,43494.48198,44408.800800000005,-170063.30052000144,-0.02102149004603482,2021-05-18,2021-05-18,0 days
25,-212,141,141,37226.08665,37997.050200000005,-163444.27260000163,-0.020710303429114507,2021-05-22,2021-05-22,0 days
26,202,167,167,38387.348999999995,37582.029800000004,-162674.47839999816,-0.020978765686580525,2021-06-17,2021-06-17,0 days
27,-240,172,172,31582.50588,32241.1086,-158064.65279999975,-0.02085340290926907,2021-06-22,2021-06-22,0 days
28,-235,176,176,31544.51391,32216.139000000003,-157831.89615000034,-0.02129134377902364,2021-06-26,2021-06-26,0 days
